PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"149697";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Bathycoccaceae";;;;"Ostreococcus";;;"tauri";;;;"118096";"141284";;"Courties & Chret.-Dinet.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;109657;149697;"Ja";
"118086";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Bathycoccaceae";;;;"Bathycoccus";;;"prasinos";;;;"118085";"109393";"9/11/2009 12:00:00 AM";"W. Eikrem & J. Throndsen";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1990";;;"M, C";76680;118086;"Ja";
"118090";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Mamiellaceae";;;;"Mamiella";;;;;;;"118084";"109397";"9/11/2009 12:00:00 AM";"Moestrup";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76684;118090;"Nei";
"118092";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Mamiellaceae";;;;"Mantoniella";;;;;;;"118084";"109399";"9/11/2009 12:00:00 AM";"T.V. Desikachary";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76686;118092;"Nei";
"118094";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Mamiellaceae";;;;"Micromonas";;;;;;;"118084";"109401";"9/11/2009 12:00:00 AM";"I. Manton & M. Parke";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76688;118094;"Nei";
"118095";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Mamiellaceae";;;;"Micromonas";;;"pusilla";;;;"118094";"109402";"9/11/2009 12:00:00 AM";"(R.W. Butcher) I. Manton & M. Parke";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1960";;;"M, C";76689;118095;"Ja";
"118093";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Mamiellaceae";;;;"Mantoniella";;;"squamata";;;;"118092";"109400";"9/11/2009 12:00:00 AM";"(I. Manton & M. Parke) T.V. Desikachary";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1972";;;"M, C";76687;118093;"Ja";
"118091";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Mamiellaceae";;;;"Mamiella";;;"gilva";;;;"118090";"109398";"9/11/2009 12:00:00 AM";"(M. Parke & D.G. Rayns) Ø. Moestrup";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1984";;;"M, C";76685;118091;"Ja";
"147230";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;;;;;;;;;;;;"127747";"138815";;;"Gyldig";"Ingen_bistatus";"1/30/2015 12:00:00 AM";"1/30/2015 12:00:00 AM";;;;;107161;147230;"Nei";
"147310";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Distomataceae";;;;;;;;;;;"147230";"138895";;;"Gyldig";"Ingen_bistatus";"2/4/2015 12:00:00 AM";"2/4/2015 12:00:00 AM";;;;;107256;147310;"Nei";
