scientific_name	rank	author	parent	classification	source	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Siphonema	Genus	Geitler	Entophysalidaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Siphonema	Artsnavnebase 20170303	1016266	Siphonema	https://www.dyntaxa.se/taxon/info/1016266
Siphonema polonicum	Species	(Racib.) Geitler	Siphonema	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Siphonema polonicum	Artsnavnebase 20170303	263459	Siphonema polonicum	https://www.dyntaxa.se/taxon/info/263459
Siphononema	Genus		Entophysalidaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Siphononema	Artsnavnebase 20170303			
Siphononema polonicum	Species	(Raciborski) Geitler	Siphononema	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Siphononema polonicum	Artsnavnebase 20170303			
Gomphosphaeriaceae	Family		Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Gomphosphaeriaceae	Artsnavnebase 20170303	2003106	Gomphosphaeriaceae	https://www.dyntaxa.se/taxon/info/2003106
Hydrococcaceae	Family	Kütz.	Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hydrococcaceae	Artsnavnebase 20170303	2003559	Hydrococcaceae	https://www.dyntaxa.se/taxon/info/2003559
Hydrococcus	Genus	Kütz.	Hydrococcaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hydrococcaceae - Hydrococcus	Artsnavnebase 20170303	1016267	Hydrococcus	https://www.dyntaxa.se/taxon/info/1016267
Hydrococcus cesatii	Species	Rabenhorst	Hydrococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hydrococcaceae - Hydrococcus cesatii	Artsnavnebase 20170303	263460	Hydrococcus cesatii	https://www.dyntaxa.se/taxon/info/263460
Hydrococcus rivularis	Species	Kützing	Hydrococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hydrococcaceae - Hydrococcus rivularis	Artsnavnebase 20170303	263461	Hydrococcus rivularis	https://www.dyntaxa.se/taxon/info/263461
Pleurococcales	Genus		Hydrococcaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hydrococcaceae - Pleurococcales	Artsnavnebase 20170303			
Pleurococcales amethystea	Species	Rosenvinge	Pleurococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hydrococcaceae - Pleurococcales amethystea	Artsnavnebase 20170303			
Pleurococcales fuliginosa	Species	Hauck	Pleurococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hydrococcaceae - Pleurococcales fuliginosa	Artsnavnebase 20170303			
Hyellaceae	Family	Borzí	Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hyellaceae	Artsnavnebase 20170303	2003903	Hyellaceae	https://www.dyntaxa.se/taxon/info/2003903
Hyella	Genus	Bornet & Flahault	Hyellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hyellaceae - Hyella	Artsnavnebase 20170303	1016268	Hyella	https://www.dyntaxa.se/taxon/info/1016268
Hyella balani	Species	Lehman	Hyella	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hyellaceae - Hyella balani	Artsnavnebase 20170303			
Hyella caespitosa	Species	Bornet & Flahault	Hyella	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Hyellaceae - Hyella caespitosa	Artsnavnebase 20170303	263462	Hyella caespitosa	https://www.dyntaxa.se/taxon/info/263462
